,title,company,salary,summary
0,Head Start Receptionist,Southeast NM Community Action Corporation,$11.00 - $13.33 an hour,"The Front Desk Receptionist is responsible for providing essential front desk duties including greeting all families and guests, answering and directing phone…"
1,Benefits Administrator,"MBF Inspection Services, Inc",$17 - $21 an hour,"The position requires a bachelor’s degree from an accredited university, or equivalent work experience.File quarterly unemployment insurance reports for each…"
2,Food Server,Cattle Baron Restaurant,,"The greeting, seating, reciting features in order for the guest to be comfortable and informed; circulating the dining room and assisting each other in pouring…"
3,Guest Advocate (Cashier or Front of Store Attendant/ Cart At...,TARGET,,Make a connection with guests by engaging in friendly and genuine conversation throughout each transaction; asking open ended questions about the guest’s…
4,Food Server,"Farley's Food, Fun & Pub",,"The greeting, seating, reciting features in order for the guest to be comfortable and informed; circulating the dining room and assisting each other in pouring…"
5,Personal Assistant,CAS Marketing LLC,$12 - $15 an hour,"In this role, you will be responsible for scheduling appointments, traveling to client locations, filming videos for clients, taking notes, organizing content,…"
6,Subway Sandwich Artist®,Subway,,"Exhibits a cheerful and helpful manner while greeting guests and preparing their orders.A SUBWAY® Sandwich Artist® greets and serves guests, prepares food,…"
7,Team Member - Roswell,Big R Stores,,"Answer phones, 2-way radio calls, make announcements over PA system, with clear, pleasant and professional methods of communication."
8,Merchandiser (PT/Days/Seasonal),PepsiCo,$16 an hour,"This includes stocking shelves, rotating shelved product, setting up displays, stocking and rotating products in coolers, organizing and rotating products in…"
9,Bank Teller,Pioneer Bank,,"Receives checks and cash for deposit in savings and checking accounts, verifies deposit amounts, examines checks for endorsement and negotiability, and enters…"
10,Motor Vehicle Clerk,MVD Express,$13.00 - $13.50 an hour,"Omni-channel service model that has capability to serve both consumer & commercial clients.Call Center & Help Desk Support.Major Holidays Off, Paid Holidays."
11,Library Associate (2020-2021) SY,Roswell Independent School District,"$17,439 - $19,528 a year",Trends in library media field.Responsible for clerical service(s) in the school library media center designed to support the RISD library media program.
12,Gift Shop Cashier / Floater,International UFO Museum & Research Center,$10.50 - $10.75 an hour,"Accepts cash payments, processes credit card payments, issues receipts and give change.Candidates will perform cashier duties accurately and efficiently…"
13,"Customer Contact Center Associate II - Roswell, NM",Xcel Energy,$14 an hour,"Provide technical support to customers.After successful passing of the background check and drug test, candidates are ready to start the training class."
14,"barista - Store# 11806, MAIN & COLLEGE, ROSWELL",Starbucks,,"Follows Starbucks operational policies and procedures, including those for cash handling and safety and security, to ensure the safety of all partners during…"
15,Experienced Bartender,Peppers Grill & Bar,$12 - $30 an hour,"Handle card and cash transactions, ensuring that all funds in the cash drawer are accounted for by the end of the shift.Mix ingredients to prepare cocktails."
16,Food Server,Cattle Baron Restaurant,,"The greeting, seating, reciting features in order for the guest to be comfortable and informed; circulating the dining room and assisting each other in pouring…"
17,Benefits Administrator,"MBF Inspection Services, Inc",$17 - $21 an hour,"The position requires a bachelor’s degree from an accredited university, or equivalent work experience.File quarterly unemployment insurance reports for each…"
18,Home Health RN/ Director of Nursing (DON),Healthbridge Home Health,"$54,951 - $108,000 a year",\* Licensed driver with automobile insured in accordance with the Agency and state requirements.\* Current license as a Registered Nurse in NM.
19,Guest Advocate (Cashier or Front of Store Attendant/ Cart At...,TARGET,,Make a connection with guests by engaging in friendly and genuine conversation throughout each transaction; asking open ended questions about the guest’s…
20,Food Server,"Farley's Food, Fun & Pub",,"The greeting, seating, reciting features in order for the guest to be comfortable and informed; circulating the dining room and assisting each other in pouring…"
21,Personal Assistant,CAS Marketing LLC,$12 - $15 an hour,"In this role, you will be responsible for scheduling appointments, traveling to client locations, filming videos for clients, taking notes, organizing content,…"
22,Subway Sandwich Artist®,Subway,,"Exhibits a cheerful and helpful manner while greeting guests and preparing their orders.A SUBWAY® Sandwich Artist® greets and serves guests, prepares food,…"
23,Motor Vehicle Clerk,MVD Express,$13.00 - $13.50 an hour,"Omni-channel service model that has capability to serve both consumer & commercial clients.Call Center & Help Desk Support.Major Holidays Off, Paid Holidays."
24,Merchandiser (PT/Days/Seasonal),PepsiCo,$16 an hour,"This includes stocking shelves, rotating shelved product, setting up displays, stocking and rotating products in coolers, organizing and rotating products in…"
25,Team Member - Roswell,Big R Stores,,"Answer phones, 2-way radio calls, make announcements over PA system, with clear, pleasant and professional methods of communication."
26,Bank Teller,Pioneer Bank,,"Receives checks and cash for deposit in savings and checking accounts, verifies deposit amounts, examines checks for endorsement and negotiability, and enters…"
27,BUSINESS DEVELOPMENT MANAGER,Lindmark Outdoor Media (Elite Media Group LLC),,Works with graphic designers to organize the design of billboards.Follows up on all leads.Procures new sales by assisting potential customers with billboard…
28,Head Start Receptionist,Southeast NM Community Action Corporation,$11.00 - $13.33 an hour,"The Front Desk Receptionist is responsible for providing essential front desk duties including greeting all families and guests, answering and directing phone…"
29,Head Start Receptionist,Southeast NM Community Action Corporation,$11.00 - $13.33 an hour,"The Front Desk Receptionist is responsible for providing essential front desk duties including greeting all families and guests, answering and directing phone…"
30,Benefits Administrator,"MBF Inspection Services, Inc",$17 - $21 an hour,"The position requires a bachelor’s degree from an accredited university, or equivalent work experience.File quarterly unemployment insurance reports for each…"
31,,Conduent,$14.25 an hour,We are actively seeking full-time agents to work from home and deliver excellent technical customer service on behalf of our client - a world leader in…
32,Guest Advocate (Cashier or Front of Store Attendant/ Cart At...,TARGET,,Make a connection with guests by engaging in friendly and genuine conversation throughout each transaction; asking open ended questions about the guest’s…
33,Radiology Tech - Orthopedic Specialists,Roswell Clinic Corporation,,"Performs a variety of technical procedures that will require independent judgment, with ingenuity and initiative to apply prescribed ionizing radiation for…"
34,Personal Assistant,CAS Marketing LLC,$12 - $15 an hour,"In this role, you will be responsible for scheduling appointments, traveling to client locations, filming videos for clients, taking notes, organizing content,…"
